,ID_SAEB,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,PC_FORMACAO_DOCENTE_INICIAL,PC_FORMACAO_DOCENTE_FINAL,PC_FORMACAO_DOCENTE_MEDIO,NIVEL_SOCIO_ECONOMICO,NU_MATRICULADOS_CENSO_5EF,NU_PRESENTES_5EF,TAXA_PARTICIPACAO_5EF,NIVEL_0_LP5,NIVEL_1_LP5,NIVEL_2_LP5,NIVEL_3_LP5,NIVEL_4_LP5,NIVEL_5_LP5,NIVEL_6_LP5,NIVEL_7_LP5,NIVEL_8_LP5,NIVEL_9_LP5,NIVEL_0_MT5,NIVEL_1_MT5,NIVEL_2_MT5,NIVEL_3_MT5,NIVEL_4_MT5,NIVEL_5_MT5,NIVEL_6_MT5,NIVEL_7_MT5,NIVEL_8_MT5,NIVEL_9_MT5,NIVEL_10_MT5,NU_MATRICULADOS_CENSO_9EF,NU_PRESENTES_9EF,TAXA_PARTICIPACAO_9EF,NIVEL_0_LP9,NIVEL_1_LP9,NIVEL_2_LP9,NIVEL_3_LP9,NIVEL_4_LP9,NIVEL_5_LP9,NIVEL_6_LP9,NIVEL_7_LP9,NIVEL_8_LP9,NIVEL_0_MT9,NIVEL_1_MT9,NIVEL_2_MT9,NIVEL_3_MT9,NIVEL_4_MT9,NIVEL_5_MT9,NIVEL_6_MT9,NIVEL_7_MT9,NIVEL_8_MT9,NIVEL_9_MT9,NU_MATRICULADOS_CENSO_EMT,NU_PRESENTES_EMT,TAXA_PARTICIPACAO_EMT,NIVEL_0_LPEMT,NIVEL_1_LPEMT,NIVEL_2_LPEMT,NIVEL_3_LPEMT,NIVEL_4_LPEMT,NIVEL_5_LPEMT,NIVEL_6_LPEMT,NIVEL_7_LPEMT,NIVEL_8_LPEMT,NIVEL_0_MTEMT,NIVEL_1_MTEMT,NIVEL_2_MTEMT,NIVEL_3_MTEMT,NIVEL_4_MTEMT,NIVEL_5_MTEMT,NIVEL_6_MTEMT,NIVEL_7_MTEMT,NIVEL_8_MTEMT,NIVEL_9_MTEMT,NIVEL_10_MTEMT,NU_MATRICULADOS_CENSO_EMI,NU_PRESENTES_EMI,TAXA_PARTICIPACAO_EMI,NIVEL_0_LPEMI,NIVEL_1_LPEMI,NIVEL_2_LPEMI,NIVEL_3_LPEMI,NIVEL_4_LPEMI,NIVEL_5_LPEMI,NIVEL_6_LPEMI,NIVEL_7_LPEMI,NIVEL_8_LPEMI,NIVEL_0_MTEMI,NIVEL_1_MTEMI,NIVEL_2_MTEMI,NIVEL_3_MTEMI,NIVEL_4_MTEMI,NIVEL_5_MTEMI,NIVEL_6_MTEMI,NIVEL_7_MTEMI,NIVEL_8_MTEMI,NIVEL_9_MTEMI,NIVEL_10_MTEMI,NU_MATRICULADOS_CENSO_EM,NU_PRESENTES_EM,TAXA_PARTICIPACAO_EM,NIVEL_0_LPEM,NIVEL_1_LPEM,NIVEL_2_LPEM,NIVEL_3_LPEM,NIVEL_4_LPEM,NIVEL_5_LPEM,NIVEL_6_LPEM,NIVEL_7_LPEM,NIVEL_8_LPEM,NIVEL_0_MTEM,NIVEL_1_MTEM,NIVEL_2_MTEM,NIVEL_3_MTEM,NIVEL_4_MTEM,NIVEL_5_MTEM,NIVEL_6_MTEM,NIVEL_7_MTEM,NIVEL_8_MTEM,NIVEL_9_MTEM,NIVEL_10_MTEM,MEDIA_5EF_LP,MEDIA_5EF_MT,MEDIA_9EF_LP,MEDIA_9EF_MT,MEDIA_EMT_LP,MEDIA_EMT_MT,MEDIA_EMI_LP,MEDIA_EMI_MT,MEDIA_EM_LP,MEDIA_EM_MT
17619,2019,2,24,2400109,2,24034410,2,1,,65.3,68.4,N�vel IV,,,,,,,,,,,,,,,,,,,,,,,,,67.0,56.0,0.8358208955,14.61,12.9,17.86,19.4,14.13,13.81,5.44,1.87,0.0,20.52,12.58,12.26,23.13,13.97,12.26,5.28,0.0,0.0,0.0,34.0,23.0,0.6764705882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,23.0,0.6764705882,,,,,,,,,,,,,,,,,,,,,,,254.18,251.91,,,,,,
17620,2019,2,24,2400109,2,24034428,2,1,,,77.8,N�vel III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,13.0,0.8666666667,30.77,7.69,23.08,0.0,23.08,7.69,7.69,0.0,0.0,15.38,23.08,30.77,7.69,7.69,0.0,15.38,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,15.0,13.0,0.8666666667,30.77,7.69,23.08,0.0,23.08,7.69,7.69,0.0,0.0,15.38,23.08,30.77,7.69,7.69,0.0,15.38,0.0,0.0,0.0,0.0,,,,,262.02,265.69,,,262.02,265.69
17621,2019,2,24,2400109,2,24034495,3,1,100.0,,,N�vel IV,17.0,16.0,0.9411764706,6.25,0.0,25.0,0.0,18.75,25.0,6.25,18.75,0.0,0.0,0.0,0.0,6.25,31.25,6.25,31.25,18.75,0.0,6.25,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.16,224.66,,,,,,,,
17622,2019,2,24,2400109,2,24034517,3,1,100.0,,,N�vel IV,19.0,18.0,0.9473684211,0.0,11.11,5.56,22.22,0.0,16.67,16.67,22.22,5.56,0.0,0.0,0.0,11.11,11.11,5.56,16.67,38.89,16.67,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.01,240.08,,,,,,,,
17623,2019,2,24,2400109,2,24034797,3,1,90.9,,,N�vel IV,47.0,47.0,1.0,0.0,0.0,6.38,6.38,8.51,29.79,27.66,14.89,6.38,0.0,0.0,0.0,2.13,2.13,6.38,17.02,21.28,23.4,19.15,8.51,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.85,275.52,,,,,,,,
17624,2019,2,24,2400109,2,24034851,3,1,100.0,,,N�vel III,36.0,34.0,0.9444444444,2.78,23.26,6.25,9.37,11.46,23.96,17.36,0.0,5.56,0.0,2.78,9.03,8.68,18.06,17.36,21.18,8.33,8.68,3.12,2.78,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.35,218.29,,,,,,,,
17625,2019,2,24,2400208,2,24009334,2,1,,,93.3,N�vel III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.0,156.0,0.6419753086,,,,,,,,,,,,,,,,,,,,,29.0,24.0,0.8275862069,12.5,16.67,12.5,16.67,29.17,4.17,8.33,0.0,0.0,25.0,8.33,16.67,20.83,20.83,8.33,0.0,0.0,0.0,0.0,0.0,272.0,180.0,0.6617647059,,,,,,,,,,,,,,,,,,,,,,,,,,,278.97,268.82,,
17626,2019,2,24,2400208,2,24009342,2,1,58.9,70.0,,N�vel IV,68.0,59.0,0.8676470588,17.85,12.25,14.7,23.95,16.22,5.88,3.27,5.88,0.0,0.0,5.71,6.97,30.54,21.83,19.17,7.79,6.54,0.0,1.47,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.91,189.46,,,,,,,,
17627,2019,2,24,2400208,2,24009369,2,1,,87.3,,N�vel III,,,,,,,,,,,,,,,,,,,,,,,,,58.0,54.0,0.9310344828,33.33,13.1,13.1,14.41,15.04,5.5,5.5,0.0,0.0,20.39,16.98,22.33,30.92,9.38,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.97,231.06,,,,,,
17628,2019,2,24,2400208,2,24009385,2,1,,76.3,,N�vel III,,,,,,,,,,,,,,,,,,,,,,,,,54.0,46.0,0.8518518519,26.51,29.09,21.98,7.11,6.68,2.37,6.25,0.0,0.0,23.92,23.49,23.92,10.99,13.36,1.94,0.0,2.37,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.03,229.56,,,,,,
17629,2019,2,24,2400208,2,24009580,3,1,79.5,,,N�vel IV,69.0,58.0,0.8405797101,8.88,21.45,17.77,6.89,15.77,12.09,5.05,6.73,5.36,0.0,3.68,12.56,22.97,20.98,14.09,18.67,3.52,3.52,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.44,192.87,,,,,,,,
17630,2019,2,24,2400208,2,24009601,3,1,100.0,,,N�vel III,41.0,40.0,0.9756097561,12.45,20.54,12.45,27.6,18.87,0.0,5.39,2.7,0.0,0.0,0.0,17.84,30.04,35.94,5.39,5.39,5.39,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.01,180.42,,,,,,,,
17631,2019,2,24,2400208,2,24009695,3,2,40.0,,,N�vel III,34.0,29.0,0.8529411765,20.69,20.69,10.34,24.14,13.79,3.45,0.0,6.9,0.0,0.0,6.9,13.79,20.69,24.14,20.69,6.9,3.45,3.45,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.68,183.83,,,,,,,,
17632,2019,2,24,2400208,2,24009725,3,2,89.1,47.5,,N�vel III,37.0,34.0,0.9189189189,23.53,23.53,5.88,17.65,17.65,11.76,0.0,0.0,0.0,0.0,0.0,20.59,23.53,29.41,11.76,5.88,5.88,0.0,2.94,0.0,0.0,78.0,59.0,0.7564102564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.29,183.39,,,,,,,,
17633,2019,2,24,2400208,2,24009768,3,2,100.0,33.3,,N�vel III,30.0,25.0,0.8333333333,32.0,20.0,0.0,16.0,12.0,16.0,4.0,0.0,0.0,0.0,12.0,8.0,24.0,24.0,12.0,12.0,4.0,4.0,0.0,0.0,0.0,31.0,26.0,0.8387096774,65.38,19.23,3.85,3.85,3.85,3.85,0.0,0.0,0.0,50.0,23.08,15.38,11.54,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.62,185.79,194.51,202.95,,,,,,
17634,2019,2,24,2400208,2,24009806,3,2,82.5,44.4,,N�vel III,29.0,20.0,0.6896551724,,,,,,,,,,,,,,,,,,,,,,15.0,12.0,0.8,25.0,25.0,8.33,8.33,25.0,8.33,0.0,0.0,0.0,33.33,8.33,25.0,0.0,25.0,8.33,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.69,232.86,,,,,,
17635,2019,2,24,2400208,2,24009830,3,1,40.0,33.3,,N�vel IV,24.0,22.0,0.9166666667,5.0,0.0,10.0,30.0,25.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,15.0,5.0,0.0,0.0,0.0,26.0,20.0,0.7692307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.82,213.83,,,,,,,,
17636,2019,2,24,2400208,2,24066052,3,1,,58.7,,N�vel III,,,,,,,,,,,,,,,,,,,,,,,,,198.0,167.0,0.8434343434,21.71,18.63,27.98,13.93,11.24,6.01,0.51,0.0,0.0,16.84,13.64,26.96,20.47,12.47,7.8,1.26,0.57,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.64,241.95,,,,,,
17637,2019,2,24,2400208,2,24284343,3,1,87.5,,,N�vel III,29.0,26.0,0.8965517241,3.85,7.69,30.77,11.54,15.38,15.38,7.69,3.85,3.85,0.0,0.0,11.54,23.08,19.23,15.38,15.38,11.54,3.85,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.85,199.84,,,,,,,,
17638,2019,2,24,2400307,2,24026085,3,1,,35.2,,N�vel III,,,,,,,,,,,,,,,,,,,,,,,,,22.0,19.0,0.8636363636,36.84,21.05,26.32,10.53,5.26,0.0,0.0,0.0,0.0,36.84,10.53,15.79,26.32,5.26,5.26,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.22,223.02,,,,,,
17639,2019,2,24,2400307,2,24026107,2,1,,,56.6,N�vel III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,31.0,0.6888888889,,,,,,,,,,,,,,,,,,,,,27.0,22.0,0.8148148148,31.82,9.09,13.64,9.09,27.27,0.0,4.55,4.55,0.0,13.64,27.27,31.82,4.55,9.09,0.0,13.64,0.0,0.0,0.0,0.0,72.0,53.0,0.7361111111,,,,,,,,,,,,,,,,,,,,,,,,,,,269.58,262.55,,
17640,2019,2,24,2400307,2,24026115,2,1,100.0,,,N�vel III,30.0,26.0,0.8666666667,3.85,19.23,19.23,19.23,15.38,3.85,3.85,11.54,3.85,0.0,7.69,15.38,30.77,15.38,7.69,7.69,15.38,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.49,185.9,,,,,,,,
17641,2019,2,24,2400307,2,24072079,3,2,,19.4,,N�vel IV,,,,,,,,,,,,,,,,,,,,,,,,,12.0,11.0,0.9166666667,36.36,9.09,36.36,9.09,9.09,0.0,0.0,0.0,0.0,27.27,18.18,45.45,9.09,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.34,214.52,,,,,,
17642,2019,2,24,2400307,2,24083356,3,1,63.3,,,N�vel III,78.0,72.0,0.9230769231,14.02,27.09,19.34,18.69,9.73,5.5,1.41,2.81,1.41,0.0,12.8,18.06,27.8,20.36,11.19,4.16,1.41,2.81,1.41,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.53,172.23,,,,,,,,
17643,2019,2,24,2400406,2,24012351,3,1,84.6,23.1,,N�vel IV,60.0,55.0,0.9166666667,7.6,15.19,18.66,18.03,14.06,15.05,5.95,1.98,3.48,0.0,0.0,9.9,19.0,22.14,28.45,9.43,3.48,7.6,0.0,0.0,0.0,19.0,18.0,0.9473684211,22.22,11.11,16.67,27.78,16.67,5.56,0.0,0.0,0.0,22.22,22.22,5.56,5.56,22.22,16.67,5.56,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.16,199.58,239.49,247.09,,,,,,
