,ID_SAEB,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,CO_PROFESSOR,ID_SERIE,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,TX_RESP_Q052,TX_RESP_Q053,TX_RESP_Q054,TX_RESP_Q055,TX_RESP_Q056,TX_RESP_Q057,TX_RESP_Q058,TX_RESP_Q059,TX_RESP_Q060,TX_RESP_Q061,TX_RESP_Q062,TX_RESP_Q063,TX_RESP_Q064,TX_RESP_Q065,TX_RESP_Q066,TX_RESP_Q067,TX_RESP_Q068,TX_RESP_Q069,TX_RESP_Q070,TX_RESP_Q071,TX_RESP_Q072,TX_RESP_Q073,TX_RESP_Q074,TX_RESP_Q075,TX_RESP_Q076,TX_RESP_Q077,TX_RESP_Q078,TX_RESP_Q079,TX_RESP_Q080,TX_RESP_Q081,TX_RESP_Q082,TX_RESP_Q083,TX_RESP_Q084,TX_RESP_Q085,TX_RESP_Q086,TX_RESP_Q087,TX_RESP_Q088,TX_RESP_Q089,TX_RESP_Q090,TX_RESP_Q091,TX_RESP_Q092,TX_RESP_Q093,TX_RESP_Q094,TX_RESP_Q095,TX_RESP_Q096,TX_RESP_Q097,TX_RESP_Q098,TX_RESP_Q099,TX_RESP_Q100,TX_RESP_Q101,TX_RESP_Q102,TX_RESP_Q103,TX_RESP_Q104,TX_RESP_Q105,TX_RESP_Q106,TX_RESP_Q107,TX_RESP_Q108,TX_RESP_Q109,TX_RESP_Q110,TX_RESP_Q111,TX_RESP_Q112,TX_RESP_Q113,TX_RESP_Q114,TX_RESP_Q115,TX_RESP_Q116,TX_RESP_Q117,TX_RESP_Q118,TX_RESP_Q119,TX_RESP_Q120,TX_RESP_Q121,TX_RESP_Q122,TX_RESP_Q123,TX_RESP_Q124,TX_RESP_Q125,TX_RESP_Q126,TX_RESP_Q127,TX_RESP_Q128
85814,2019,2,24,2400109,2,24034410,2,1,1049273,2019082199,9,1,A,F,,B,A,,B,C,C,B,B,C,B,C,C,D,D,B,B,C,D,C,D,D,D,C,C,C,C,C,D,D,E,E,D,A,C,D,E,C,C,D,D,D,C,D,C,D,D,D,C,C,C,B,A,C,C,C,A,D,A,D,D,D,D,D,D,D,A,A,A,B,A,A,C,C,C,C,C,A,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,E,E,E,D,E,E,E,E,E,E,D,D,A,,,,,,
85815,2019,2,24,2400109,2,24034410,2,1,1049273,2019109082,9,1,B,B,B,A,A,D,B,D,D,D,A,D,C,C,D,D,D,D,B,B,D,D,D,B,D,C,C,D,D,D,D,D,E,E,E,E,E,E,C,D,C,D,D,D,D,D,C,D,D,D,D,D,C,A,A,D,D,B,C,A,A,D,D,D,D,D,D,D,A,A,A,A,A,A,C,C,C,C,C,E,D,D,D,D,D,D,D,D,C,D,D,D,B,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,E,E,E,D,F,F,E,,,,,,,F,F,F,E,E,E
85816,2019,2,24,2400109,2,24034410,2,1,1111349,2019053035,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85817,2019,2,24,2400109,2,24034410,2,1,1111349,2019082199,9,1,A,F,E,B,A,,B,C,C,B,B,C,B,C,C,D,D,B,B,C,D,C,D,D,D,C,C,C,C,C,D,D,E,E,D,A,C,D,E,C,C,D,D,D,C,D,C,D,D,D,C,C,C,B,A,C,C,C,A,D,A,D,D,D,D,D,D,D,A,A,A,B,A,A,C,C,C,C,C,A,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,,E,E,D,E,E,E,E,E,E,,D,A,,,,,,
85818,2019,2,24,2400109,2,24034428,2,1,1138930,2019103667,12,1,C,F,F,D,A,C,B,D,D,B,B,B,C,D,D,C,D,D,D,D,D,C,D,C,C,B,B,D,D,C,C,D,D,E,D,D,D,C,E,E,E,C,D,D,C,C,C,C,D,D,C,D,D,D,D,C,C,C,B,A,A,D,D,C,D,C,C,D,A,D,A,B,A,A,C,C,C,C,C,D,C,D,D,C,C,D,C,B,C,D,C,C,C,B,B,C,C,B,C,A,A,A,A,A,A,A,A,A,A,E,F,E,C,A,F,F,,,,,,,F,F,F,E,F,F
85819,2019,2,24,2400109,2,24034428,2,1,1138930,2019136207,12,1,C,D,A,D,A,D,B,C,C,B,B,C,C,D,C,D,C,D,B,B,D,C,C,B,C,A,A,D,C,C,B,C,E,C,C,D,D,C,E,E,E,D,D,C,D,D,B,C,D,D,C,C,D,D,D,D,D,D,B,A,A,D,D,D,D,D,D,C,A,B,B,B,B,B,C,C,C,C,C,D,D,D,D,D,D,C,C,C,C,D,C,C,B,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,E,E,F,D,E,F,F,E,E,E,E,E,E,,,,,,
85820,2019,2,24,2400109,2,24034495,3,1,1078523,2019192380,5,1,A,G,B,A,A,D,C,C,D,A,A,D,D,C,D,B,D,B,B,D,D,D,D,D,D,B,B,D,D,D,D,D,E,E,B,A,C,C,D,D,C,C,D,C,C,D,B,C,D,C,D,D,C,A,A,B,C,C,B,A,A,D,D,D,D,D,D,D,C,A,A,A,A,A,C,C,C,C,C,E,D,D,D,D,D,D,D,D,C,D,D,D,D,C,D,D,D,C,D,A,A,A,A,A,A,A,A,A,A,F,F,F,F,F,F,F,E,E,E,E,E,E,F,F,F,F,F,F
85821,2019,2,24,2400109,2,24034517,3,1,1032012,2019232639,5,1,A,G,C,D,A,C,B,C,D,C,B,C,C,C,C,B,D,B,B,A,D,B,A,A,B,A,A,B,C,C,A,A,D,E,A,A,A,A,C,C,B,D,D,D,D,D,C,C,D,C,C,C,D,A,A,D,C,B,A,A,A,B,B,B,B,B,B,B,B,A,A,A,A,B,C,B,C,C,C,A,C,C,C,C,C,C,C,C,D,A,B,B,A,C,C,C,D,D,D,A,A,A,A,A,A,A,A,A,A,F,F,F,F,E,F,F,E,F,E,F,D,E,F,F,F,E,F,F
85822,2019,2,24,2400109,2,24034797,3,1,985159,2019216296,5,1,A,G,G,A,A,C,B,B,C,C,B,C,C,D,D,B,C,C,B,C,D,C,D,D,C,C,C,D,D,D,D,D,D,D,C,C,E,E,C,D,C,D,D,D,D,D,C,C,D,D,D,D,D,D,A,D,D,D,A,A,A,C,C,D,C,C,C,C,A,A,A,B,A,A,C,C,C,C,C,A,D,D,D,C,D,D,D,D,D,D,D,C,C,D,D,D,D,C,D,A,A,A,A,A,A,A,A,A,A,F,F,E,D,F,F,F,E,E,F,F,E,F,F,F,F,E,F,E
85823,2019,2,24,2400109,2,24034797,3,1,1128499,2019248902,5,1,A,G,C,B,A,D,B,B,C,C,B,C,C,D,D,B,C,B,B,C,D,D,D,D,C,C,C,D,D,D,D,D,D,D,D,C,D,D,E,C,C,D,D,C,D,D,C,C,D,D,D,D,D,D,A,D,D,D,A,A,A,C,C,D,C,C,C,C,A,A,A,B,A,A,C,C,C,C,C,A,D,D,D,C,D,D,D,D,D,D,D,C,C,D,D,D,D,C,D,A,A,A,A,A,A,A,A,A,A,F,F,E,D,F,F,F,E,E,F,F,E,F,F,F,F,E,F,E
85824,2019,2,24,2400109,2,24034851,3,1,1043839,2019190695,5,1,A,G,B,A,A,D,A,B,D,C,B,C,C,C,D,D,D,C,B,C,D,D,C,C,C,C,C,D,D,C,C,C,D,B,B,B,C,B,D,C,C,D,D,D,D,D,C,C,D,D,D,D,C,B,A,B,B,B,A,A,A,C,D,D,C,D,D,D,C,B,A,A,B,A,C,C,C,C,C,A,C,D,C,C,C,C,C,C,C,C,C,C,B,D,C,D,D,D,C,A,A,A,A,A,A,A,A,A,A,F,F,F,E,F,F,F,F,E,F,E,E,E,F,F,F,F,F,E
85825,2019,2,24,2400109,2,24034851,3,1,1159771,2019102322,5,1,A,E,D,A,A,C,B,C,C,C,C,B,C,D,D,C,D,D,C,C,D,D,B,C,D,D,C,D,B,A,C,B,E,,A,A,B,A,B,C,C,D,D,D,D,D,C,C,D,D,C,C,A,B,A,C,B,B,A,A,A,B,B,B,B,B,B,B,A,A,A,A,A,A,C,C,C,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,A,C,B,C,D,C,D,A,A,A,A,A,A,A,A,A,A,F,F,E,D,F,F,E,F,F,F,F,D,E,F,F,F,F,F,F
85826,2019,2,24,2400208,2,24009334,2,1,1084119,2019059297,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85827,2019,2,24,2400208,2,24009334,2,1,1084119,2019114443,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,F,E,E,F,,,,,,
85828,2019,2,24,2400208,2,24009342,2,1,1010704,2019079163,5,1,A,G,C,A,A,D,B,B,B,C,B,C,C,C,D,B,D,D,B,D,D,D,D,A,D,D,C,C,A,C,C,A,C,E,E,B,E,E,E,E,C,D,D,D,D,D,C,C,D,D,D,D,D,C,B,D,D,D,B,A,A,D,D,D,D,D,D,D,D,A,A,B,A,A,C,C,C,C,C,A,C,C,C,C,D,B,B,B,B,D,B,B,B,C,B,C,C,B,B,A,B,A,A,A,A,A,A,A,A,E,E,E,D,F,F,F,E,E,E,E,E,E,E,E,E,E,E,E
85829,2019,2,24,2400208,2,24009342,2,1,1091947,2019255624,5,1,C,G,B,B,A,D,B,C,C,C,B,C,C,C,C,C,D,C,B,D,D,C,D,C,D,C,C,C,A,A,A,C,D,E,B,A,B,B,E,C,C,D,D,D,D,D,C,C,D,D,D,D,D,A,A,D,D,C,A,A,A,D,D,D,C,D,D,D,B,A,A,A,A,A,C,C,C,C,C,A,C,C,C,C,C,C,C,,C,C,B,C,B,B,C,C,C,B,C,A,A,A,A,A,A,A,A,A,A,F,F,E,C,F,F,F,C,C,C,C,C,E,F,F,F,D,F,D
85830,2019,2,24,2400208,2,24009342,2,1,1188583,2019102519,5,1,B,F,B,B,A,D,B,C,C,C,B,C,C,C,C,C,D,C,B,D,D,C,D,C,A,C,C,C,A,A,A,C,D,E,B,A,B,B,E,C,C,D,D,D,D,D,B,C,D,D,D,D,D,B,B,D,D,C,A,A,A,D,D,D,C,D,D,D,B,A,A,A,A,A,C,C,C,C,C,A,A,A,A,A,A,A,A,A,C,C,B,C,B,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,F,F,E,C,F,F,F,C,C,C,C,C,E,F,F,F,D,F,D
85831,2019,2,24,2400208,2,24009369,2,1,1018274,2019052936,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85832,2019,2,24,2400208,2,24009369,2,1,1018274,2019053048,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85833,2019,2,24,2400208,2,24009369,2,1,1180818,2019052935,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85834,2019,2,24,2400208,2,24009369,2,1,1180818,2019108505,9,1,B,D,C,B,A,B,C,C,C,C,B,B,B,C,C,C,D,C,B,B,D,B,D,D,C,C,D,D,D,C,D,D,E,E,A,A,D,D,E,C,C,D,C,C,C,C,B,B,C,C,C,C,C,A,A,B,B,B,A,A,A,C,C,C,B,B,B,A,B,A,A,A,A,A,C,C,C,C,C,E,C,D,D,D,C,C,D,C,B,C,C,C,A,C,C,C,C,B,C,A,A,A,A,A,A,A,A,A,A,E,E,E,A,F,F,E,A,A,A,,,,F,F,F,A,F,F
85835,2019,2,24,2400208,2,24009385,2,1,1034325,2019108505,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,A,F,F
85836,2019,2,24,2400208,2,24009385,2,1,1034325,2019235964,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,D,A,A,A,E,D,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,C,D,,,,,,
85837,2019,2,24,2400208,2,24009385,2,1,1065331,2019108505,9,1,B,D,C,B,A,B,C,C,C,B,B,B,B,C,C,C,D,C,B,B,C,B,C,C,D,C,A,D,A,B,B,C,E,D,D,D,C,A,,B,B,D,C,B,C,C,B,B,C,B,C,C,C,A,A,B,B,B,A,A,A,C,C,C,B,B,C,B,B,A,A,A,A,A,A,A,A,A,A,C,B,C,B,C,C,B,C,C,B,C,B,B,A,B,B,C,C,B,C,A,A,A,A,A,A,A,A,A,A,E,E,E,A,F,F,E,A,A,A,A,A,A,F,F,F,A,F,F
85838,2019,2,24,2400208,2,24009385,2,1,1065331,2019235964,9,1,C,G,C,B,A,D,C,C,C,B,B,C,C,C,D,B,C,B,A,B,D,D,C,A,B,A,A,B,C,A,B,B,A,E,D,A,A,A,E,C,C,D,D,D,D,D,C,C,D,D,C,C,D,D,B,C,D,C,A,B,A,D,D,D,D,D,D,D,D,D,D,D,D,D,A,A,A,A,A,C,A,A,A,B,C,B,B,B,B,C,B,C,A,C,C,C,D,B,C,A,A,A,A,A,A,A,A,A,A,F,E,E,E,E,F,F,F,F,F,F,C,D,,,,,,
85839,2019,2,24,2400208,2,24009580,3,1,1059160,2019230552,5,1,B,F,D,A,A,C,B,C,C,B,B,C,C,C,C,B,B,C,B,B,D,D,D,D,D,A,A,D,D,D,D,D,E,E,A,D,E,D,C,C,C,C,C,D,D,D,C,C,D,D,D,D,B,B,B,D,C,D,A,A,A,D,D,D,C,C,C,C,B,A,A,A,A,A,B,C,C,C,C,A,B,B,C,B,C,B,C,C,B,B,B,B,B,B,C,C,C,B,B,A,A,A,A,A,A,A,A,A,A,E,E,F,D,F,F,F,F,F,F,F,D,E,F,F,F,E,E,E
85840,2019,2,24,2400208,2,24009580,3,1,1074483,2019118483,5,1,C,D,C,B,A,D,B,C,C,C,B,B,C,C,C,B,D,B,B,C,C,D,C,D,D,B,C,C,D,D,C,D,E,D,C,A,D,C,B,C,B,C,C,C,C,D,B,C,D,C,C,C,D,B,A,D,D,C,B,A,A,C,C,C,C,C,C,C,A,A,A,A,B,A,C,C,C,C,C,A,C,D,D,D,D,D,D,D,B,C,C,D,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,B,C,C,C,D,C,F,E,E,E,D,C,C,E,E,E,F,C,F,E
85841,2019,2,24,2400208,2,24009601,3,1,994085,2019213688,5,1,A,E,A,B,B,C,B,B,C,D,B,C,C,D,D,B,B,B,B,C,D,D,D,D,B,B,A,D,A,D,A,B,E,B,B,B,D,C,E,C,C,D,C,D,D,D,C,C,D,D,D,C,D,B,B,D,D,D,A,A,A,D,D,C,C,B,D,C,B,B,A,A,B,A,C,C,C,C,C,D,C,C,C,C,C,C,C,D,B,D,D,B,B,B,C,C,C,B,C,A,A,A,A,A,A,A,A,A,A,E,E,E,E,E,F,F,F,E,F,E,E,F,E,F,F,E,E,F
85842,2019,2,24,2400208,2,24009601,3,1,1086033,2019231585,5,1,B,F,B,B,B,C,B,B,C,D,B,C,C,B,D,B,B,B,C,C,D,D,D,D,B,B,A,C,A,D,A,D,E,C,B,B,C,C,E,C,C,D,C,C,D,D,C,C,D,D,D,C,D,B,B,C,D,D,A,A,A,D,D,C,B,D,D,C,B,B,A,A,B,A,C,C,C,C,C,D,C,C,D,C,C,D,D,C,B,D,D,C,B,B,C,B,C,B,B,A,A,A,A,A,A,A,A,A,A,E,E,E,E,E,F,F,E,E,F,E,E,F,F,F,F,E,F,F
85843,2019,2,24,2400208,2,24009695,3,2,1019911,2019255623,5,1,A,E,B,B,B,D,B,C,D,C,B,B,B,C,B,B,C,C,B,C,B,C,D,D,D,C,B,D,D,D,D,D,E,D,D,A,D,C,E,D,C,D,D,D,D,D,C,C,D,D,D,D,D,A,A,C,C,B,A,A,A,D,D,D,C,D,D,C,A,A,A,D,D,A,C,C,C,C,C,A,C,D,C,D,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,F,F,D,C,F,F,F,C,C,D,D,B,D,F,F,F,C,F,F
85844,2019,2,24,2400208,2,24009725,3,2,1187946,2019192307,5,1,C,G,G,A,A,C,D,D,D,B,C,C,D,C,D,C,C,B,B,C,D,D,A,D,D,D,D,D,D,D,D,D,E,D,E,D,E,E,D,D,C,D,D,D,C,D,C,D,D,D,C,D,D,D,D,D,D,D,D,A,A,D,D,D,D,D,D,B,D,C,A,D,A,A,C,C,C,C,C,E,D,C,C,C,C,C,C,C,C,D,C,D,C,B,D,D,B,B,C,A,A,A,A,A,A,A,A,A,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
